Name,Description,Category,Type,Cost,Custom Formula
Mobile Android/IOS/Flutter App Development,"Includes a custom UI design, an Android + iOS mobile application with various functionalities",Mobile App,Package,21000,y=500x+2500,
Android/IOS (Flutter) App UI/UX Design-Only,Custom 6-page UI/UX design for the mobile app,Mobile App,Component,1550,y=x+180,
Android/IOS Mobile App Figma Design Per Page,Custom UI/UX design: more pages are cost-effective.,Mobile App,Component,975,y=9x+126,
Mobile App Custom Graphic Design Per Image,"Custom-created images using photo manipulation, illustrations, and graphic design; more images are cost-effective.",Mobile App,Component,550,y=14x+51,
Native Android or Cross-Platform Flutter App Development,"Development for a mobile app on Flutter, development only.",Mobile App,Component,7500,y=500x+500,
Admin Dashboard,Add admin features such as user account management.,Mobile App,Component,1400,y=30x+200,
User Login,Have the ability to create and log in to accounts for users.,Mobile App,Component,600,y=x+100,
Chat Feature,"Allow users to chat with each other, the admin, or any other designated accounts.",Mobile App,Component,600,y=x+100,
Voice Calling,Add a voice calling feature.,Mobile App,Component,600,y=x+100,
Video Calling,Add a video calling feature.,Mobile App,Component,1200,y=x+200,
User Forum,Add a forum for users to interact.,Mobile App,Component,2400,y=x+400,
Payment Integration,Add the ability to receive or send money.,Mobile App,Component,1200,y=x+200,
Video Game Design & Development,"Package for developing a video game, includes models, design, development, and artwork",Game Development,Package,21000,y=500x+2500,
2D Game Art / 3D Game Modeling and Animation,Modeling and animations for video games,Game Development,Component,2100,y=25x+250,
2D/3D Mobile Game Development,Development for the mobile version of the video game,Game Development,Component,16500,y=250x+500,
2D/3D PC Game Development,Development for the PC version of the video game,Game Development,Component,16500,y=500x+2500,
VR Game Development,VR video game development,Game Development,Component,16500,y=500x+2500,
AR App Development,Augmented reality app development,Game Development,Component,16500,y=500x+2500,
360* Virtual Tour Creation,Allow users to tour your project from the comfort of their home.,Game Development,Component,16500,y=500x+2500,
Standard SEO Service,"Includes on-page SEO, SEO audit, basic off-page SEO, and basic technical SEO",Marketing,Package,3450,y=x+500,
On-page SEO (One-Time),Fix all your SEO on-page issues.,Marketing,Component,750,y=50x,
Website Audit (One-Time),Do an audit to figure out all your SEO issues.,Marketing,Component,1050,y=x+100,
Upgraded SEO Service,"Includes on-page SEO, SEO audit, basic off-page SEO, and basic technical SEO",Marketing,Package,6900,y=900x,
Off-Page SEO,Do an on-page SEO audit to figure out all your SEO issues.,Marketing,Component,2250,y=300x,
"Tier 1 - graphics, post scheduling, group joining, comments","Includes brand design, logos, social media post design, social media post scheduling, group joining, and responding to customer interactions.",Marketing,Package,3450,y=500x,
Tier 2 - includes advertisements and more optimization,"Includes Tier 1 along with advertisement management, conversion and reach optimization, and more.",Marketing,Package,5850,y=900x,
Tier 3 - connect e-commerce products/ manage more features,Includes tier 3 and fixes all product optimization issues regarding social media to increase sales further.,Marketing,Package,9300,y=1300x,
Social Media Graphics-Only Package,Create 10 graphics for your social media.,Marketing,Package,2250,y=350x,
Social Media Management-Only Package,Schedule and post on your social media pages and groups as well as respond to interactions.,Marketing,Package,1650,y=250x,
Facebook / Instagram Ads,"Include Facebook and Instagram ads on your social media for lead generation.",Marketing,Component,1200,y=200x,
Google Ads Campaign,Pay-per-click campaigns on Google,Marketing,Component,2000,y=300x,
Twitter / LinkedIn Ads,Pay-per-click campaigns on LinkedIn and Twitter.,Marketing,Component,3000,y=400x,
Email Campaigns,Emails sent to your potential and existing customers,Marketing,Component,1500,y=250x,
Icon Set Design,Icon set for your websites and brand.,Graphic,Component,1175,y=5x+20,
GIF and Animated Graphic Creation,Create animated graphics for your brand.,Graphic,Component,450,y=30x+20,
Restaurant Menu Design,Design an attractive menu for your restaurant.,Graphic,Component,1050,y=50x+50,
3D Model,Create 3D models of items.,Graphic,Component,1950,y=300x,

